text,rating,length,clean_text,word_count
"waktu tunggu pencarian driver gofood hampir 1 jam. tidak bisa dibatalin, padahal keterangan menyebut dapur akan mempersiapkan makanan jika driver sudah didapatkan. waktu penyiapan makanan telat 22menit, belum waktu pengantaran. kebayang berapa lama customer menunggu. jauh lebih baik aplikasi grab.",1,298,waktu tunggu pencarian driver gofood hampir jam tidak bisa dibatalin padahal keterangan menyebut dapur akan mempersiapkan makanan jika driver sudah didapatkan waktu penyiapan makanan telat menit belum waktu pengantaran kebayang berapa lama customer menunggu jauh lebih baik aplikasi grab,39
"tolong ya itu driver2nya yang suka nutupin 2 digit plat nomor suka melakukan hal tidak menyenangkan dijalan, dan percuma buat pengaduan via email klo gak bisa diaduin",1,166,tolong ya itu drivernya yang suka nutupin digit plat nomor suka melakukan hal tidak menyenangkan dijalan dan percuma buat pengaduan via email klo gak bisa diaduin,26
jangan mau mesan go food disini datangnya 2 jam,1,47,jangan mau mesan go food disini datangnya jam,8
"khusus makanan, jauh sama spfood, ini lelet, susah cari driver dan lebih pro si spfood",1,86,khusus makanan jauh sama spfood ini lelet susah cari driver dan lebih pro si spfood,15
kadang kadang gak dapet ocol,4,28,kadang kadang gak dapet ocol,5
banyak biaya aneh yang menguntungkan pihak aplikator. driver dan resto hanya sebagai sapi perah.,1,96,banyak biaya aneh yang menguntungkan pihak aplikator driver dan resto hanya sebagai sapi perah,14
infonya nih buat gocar dan godrive puncak cisarua. kalau kaga pada niat kerja.mending kaga usah kerja...gua nunggu nunggu pada diam d tempat kendaraannya...pada nunyul kah,1,171,infonya nih buat gocar dan godrive puncak cisarua kalau kaga pada niat kerjamending kaga usah kerjagua nunggu nunggu pada diam d tempat kendaraannyapada nunyul kah,25
aplikasi gojek ribet harus daftar dulu ga kaya aplikasi yg lain otomatis langsung masuk,1,87,aplikasi gojek ribet harus daftar dulu ga kaya aplikasi yg lain otomatis langsung masuk,14
cepat dalam melayani dan aplikasi ini sangat berguna bagi saya,5,62,cepat dalam melayani dan aplikasi ini sangat berguna bagi saya,10
alhamdulillah saya puas dengan layanan gojek y🙏,5,47,alhamdulillah saya puas dengan layanan gojek y,7
tiap tiap pesen makanan atau goride dapet nya driver yg jauh mulu padahal banyak driver yg deket tapi dapet yg jauh mulu yg estimasi nya 10-15 menit,1,148,tiap tiap pesen makanan atau goride dapet nya driver yg jauh mulu padahal banyak driver yg deket tapi dapet yg jauh mulu yg estimasi nya menit,26
"saya kecewa dengan penanganan customer service gojek. saat saya melaporkan transaksi yang tidak saya kenali, saya justru diarahkan untuk mengurusnya sendiri ke pihak lain tanpa bantuan yang berarti. sebagai pengguna, saya berharap gojek dapat memberikan dukungan yang lebih jelas dan membantu menyelesaikan masalah, terutama ketika menyangkut kehilangan saldo dan keamanan transaksi.",1,383,saya kecewa dengan penanganan customer service gojek saat saya melaporkan transaksi yang tidak saya kenali saya justru diarahkan untuk mengurusnya sendiri ke pihak lain tanpa bantuan yang berarti sebagai pengguna saya berharap gojek dapat memberikan dukungan yang lebih jelas dan membantu menyelesaikan masalah terutama ketika menyangkut kehilangan saldo dan keamanan transaksi,51
alhamdulillah dengan aplikasi gojek saya yang tidak diizinkan menggunakan kendaraan sangat terbantu dan alhamdulillah setiap hari ketemu orang² baik pejuang² rupiah dan yang paling pentingnya bisa bersedekah secara tidak langsung. 2 anakkupun happy sekolah bersama gojek. sedikit saran atributnya di gratisin aja supaya bapak ibu driver lebih keren kalau pakai atribut yang bersih.,5,381,alhamdulillah dengan aplikasi gojek saya yang tidak diizinkan menggunakan kendaraan sangat terbantu dan alhamdulillah setiap hari ketemu orang baik pejuang rupiah dan yang paling pentingnya bisa bersedekah secara tidak langsung anakkupun happy sekolah bersama gojek sedikit saran atributnya di gratisin aja supaya bapak ibu driver lebih keren kalau pakai atribut yang bersih,52
so far so good🤗👍🤘🏻,5,18,so far so good,4
sangat praktis dan cepat,5,24,sangat praktis dan cepat,4
"banyak driver gojek di area yogyakarta tidak pasang plat nomer di motor nya, alasannya platnya copot lah..., jatoh lah...😩",1,122,banyak driver gojek di area yogyakarta tidak pasang plat nomer di motor nya alasannya platnya copot lah jatoh lah,19
sering ga dapet driver buat gofood,1,34,sering ga dapet driver buat gofood,6
"teruntuk gojek, mohon dengan sangat di perhatikan, di area sekitar terpantau banyak driver nunggu orderan, tapi kenapa saya order membutuhkan waktu lama ? dan sekalinya dapat, posisinya jauh sangat dari titik penjemputan.",3,221,teruntuk gojek mohon dengan sangat di perhatikan di area sekitar terpantau banyak driver nunggu orderan tapi kenapa saya order membutuhkan waktu lama dan sekalinya dapat posisinya jauh sangat dari titik penjemputan,31
"jujur baru sekarang kecewa sama driver gocar, 3 kali dpt driver tapi malah pada gk jalan gara2 jauh perjalanan, padahal aku gk pesen yg hemat, tolong dong buat driver2 klo misal gk mau y jangan di ambil bukan malah nawar harga yg ga masuk akal!!!",5,246,jujur baru sekarang kecewa sama driver gocar kali dpt driver tapi malah pada gk jalan gara jauh perjalanan padahal aku gk pesen yg hemat tolong dong buat driver klo misal gk mau y jangan di ambil bukan malah nawar harga yg ga masuk akal,44
membantu bagi para pengelana di kota2 orang makasih🙏,5,52,membantu bagi para pengelana di kota orang makasih,8
bagus sih hanya di chatnya gak privasi soalnya ada aja yang chat sembarangan,5,76,bagus sih hanya di chatnya gak privasi soalnya ada aja yang chat sembarangan,13
cepat dan responsif,5,19,cepat dan responsif,3
menurut saya pilihan anda untuk customer tidak bisa cancel adalah pilhan yang cerdas..... sedangkan driver dan resto dapat mengcancel kapan saja semau mereka ditambah ini ada resto yang tutup tapi diaplikasi buka driver enggan/ tidak bisa cancel resto tidak bisa dikabari dan customer hanya bisa pasrah menunggu 30 menit bahkan lebih untuk bisa cancel dan pengembalian dana lagi dan lagi kecewa,1,394,menurut saya pilihan anda untuk customer tidak bisa cancel adalah pilhan yang cerdas sedangkan driver dan resto dapat mengcancel kapan saja semau mereka ditambah ini ada resto yang tutup tapi diaplikasi buka driver enggan tidak bisa cancel resto tidak bisa dikabari dan customer hanya bisa pasrah menunggu menit bahkan lebih untuk bisa cancel dan pengembalian dana lagi dan lagi kecewa,60
pelayanan nya cepat..,5,21,pelayanan nya cepat,3
jangan karna ownernya masuk penjara jadi lemot dah apk nya,1,58,jangan karna ownernya masuk penjara jadi lemot dah apk nya,10
"gofood sangat membantu sekali dalam keadaan lapar tapi mager. gojek sangat membantu saat bepergian tapi mager bawa kendaraan atau sedang tidak bawa kendaraan. gosend sangat membantu saat ingin mengirim sesuatu tapi mager. gocar, go shop juga ok keren pokoknya sangat membantu saya saat dibutuhkan.",5,297,gofood sangat membantu sekali dalam keadaan lapar tapi mager gojek sangat membantu saat bepergian tapi mager bawa kendaraan atau sedang tidak bawa kendaraan gosend sangat membantu saat ingin mengirim sesuatu tapi mager gocar go shop juga ok keren pokoknya sangat membantu saya saat dibutuhkan,44
terimakasih atas penanganan call center 24 jam sangat cepat,5,59,terimakasih atas penanganan call center jam sangat cepat,8
banyakkkk bgttt promonya dan g nanggung klo ada promo,5,53,banyakkkk bgttt promonya dan g nanggung klo ada promo,9
"sangat disayangkan driver nya masih ada aja yg klo ga mau ambil orderan di chat ataupun ditelpon ga direspon dan diem aja ga gerak.. harus ada perhatian dr aplikasi untuk driver yg seperti ini, gpp klo ga mau ambil orderan, tinggal chat customer aja kok, jangan diem aja sampe kita nunggu lama dan akhirnya jg cancel.. jd buang2 waktu aja jd nya",3,345,sangat disayangkan driver nya masih ada aja yg klo ga mau ambil orderan di chat ataupun ditelpon ga direspon dan diem aja ga gerak harus ada perhatian dr aplikasi untuk driver yg seperti ini gpp klo ga mau ambil orderan tinggal chat customer aja kok jangan diem aja sampe kita nunggu lama dan akhirnya jg cancel jd buang waktu aja jd nya,62
aplikasi yg sangat membantu,5,27,aplikasi yg sangat membantu,4
terbantukan dg gojek. thank alot... sukses buat smua,5,52,terbantukan dg gojek thank alot sukses buat smua,8
aplikasi sampah. pesen makanan ga dapet dapet driver. dipikir pesen makan cuman buat nunggu kali? ya buat makan lah!!,1,117,aplikasi sampah pesen makanan ga dapet dapet driver dipikir pesen makan cuman buat nunggu kali ya buat makan lah,19
"info aja kalau mau jadi mitra grab khusus motor mending batalin aja sudah penuh, yg dicari cuma yang mobil",5,106,info aja kalau mau jadi mitra grab khusus motor mending batalin aja sudah penuh yg dicari cuma yang mobil,19
sekarang kalau mau gofood kenapa estimasi waktu sampainya lama sekali terutama yang diskon murah. padahal makanan yang disiapkan termasuk ringan dan ringkas.,1,157,sekarang kalau mau gofood kenapa estimasi waktu sampainya lama sekali terutama yang diskon murah padahal makanan yang disiapkan termasuk ringan dan ringkas,22
"bagus mantap, pelayanan ok... saran untuk metode pembayaran gopay di permudah, masa setengah², udh bayar lewat gopay bayar lagi sisa nya cash.",5,142,bagus mantap pelayanan ok saran untuk metode pembayaran gopay di permudah masa setengah udh bayar lewat gopay bayar lagi sisa nya cash,22
mahal terus kalau hujan susah dapet driver,4,42,mahal terus kalau hujan susah dapet driver,7
warung bukak jadi tutup,5,23,warung bukak jadi tutup,4
kerja cepat dan tanggung jawab❤️,5,32,kerja cepat dan tanggung jawab,5
cepat aman dan nyaman,5,21,cepat aman dan nyaman,4
sangat membantu aplikasi ini untuk kegiatan yg super sibuk,5,58,sangat membantu aplikasi ini untuk kegiatan yg super sibuk,9
i hate gojek. mau hapus akun aja saldonya harus nol dulu. ribet banget malah jadi rugi banyak.,1,94,i hate gojek mau hapus akun aja saldonya harus nol dulu ribet banget malah jadi rugi banyak,17
it's very good,5,14,its very good,3
sopirnya enak ramah & sabar,5,27,sopirnya enak ramah sabar,4
cepat dan aman,5,14,cepat dan aman,3
keren ... gak banyak drama langsung sat set gak kayak aolikasi sebelah...,5,73,keren gak banyak drama langsung sat set gak kayak aolikasi sebelah,11
gk bermutu...pinjaman gak pernah telat bayar..tapi pas lunas mau ajuin lagi gak bisa...sesuai mood yah yg acc pinjaman di gojek,1,127,gk bermutupinjaman gak pernah telat bayartapi pas lunas mau ajuin lagi gak bisasesuai mood yah yg acc pinjaman di gojek,20
"kalo supir gocar nggak mau nerima orderan , bukannya di tolak atau ngasi tauu ke customer. malah dibiarin gitu aja . nyusahinn",1,126,kalo supir gocar nggak mau nerima orderan bukannya di tolak atau ngasi tauu ke customer malah dibiarin gitu aja nyusahinn,20
"selalu apes,,pesen gocar xl,,dapetny calya/sigra...",3,51,selalu apespesen gocar xldapetny calyasigra,5
lebih detail dripada apk sebelah,4,32,lebih detail dripada apk sebelah,5
"sampai sekarang saya nyaman pake gojek ,terima kasih",5,52,sampai sekarang saya nyaman pake gojek terima kasih,8
enak nyaman cepet sampai tarif murah terima kasih gojek,5,55,enak nyaman cepet sampai tarif murah terima kasih gojek,9
lemot mahal stupid tloll,1,24,lemot mahal stupid tloll,4
"di bagian gopulsa, apa maksudnya provider tidak tersedia? perbaiki yg benar! jgn mempersulit!",1,93,di bagian gopulsa apa maksudnya provider tidak tersedia perbaiki yg benar jgn mempersulit,13
bagus dan aman,5,14,bagus dan aman,3
solusi driver kabur bawa orderan gofood dong,1,44,solusi driver kabur bawa orderan gofood dong,7
"tolong dong bagian gofood nya bisa chat pihak resto, kalo cs kelupaan psg deskripsi mau komunikasi pihak resto mengenai detail makanan spt bagian ayam paha atau dada tu nyusahin bgt, mana resto tuh dikasi rata dada (bagi yg gak suka) mau minta tukar driver gak mau krna estimasi hrs tepat waktu😭",4,295,tolong dong bagian gofood nya bisa chat pihak resto kalo cs kelupaan psg deskripsi mau komunikasi pihak resto mengenai detail makanan spt bagian ayam paha atau dada tu nyusahin bgt mana resto tuh dikasi rata dada bagi yg gak suka mau minta tukar driver gak mau krna estimasi hrs tepat waktu,51
pasti terlaksana apapun kebutuhan kita di waktu memakai aplikasi ini👍,5,69,pasti terlaksana apapun kebutuhan kita di waktu memakai aplikasi ini,10
sangat berguna saat buru2,5,25,sangat berguna saat buru,4
aplikasinya selalu bermasalah,1,29,aplikasinya selalu bermasalah,3
lebih cepat jemput,5,18,lebih cepat jemput,3
sangat oke... baik diperjalanan sangat membantu disaat diperlukan,5,65,sangat oke baik diperjalanan sangat membantu disaat diperlukan,8
cepat dan ga ribet,5,18,cepat dan ga ribet,4
baik & bagus servis nya 👍👍,5,26,baik bagus servis nya,4
tiap hari langganan go-jek ke mana-mana tapi nyari driver nyah setengah mati go-jek kekurangan driver apa gii mana ?,2,116,tiap hari langganan gojek ke manamana tapi nyari driver nyah setengah mati gojek kekurangan driver apa gii mana,18
aplikasi terpercaya untuk pengguna yang cepat tanggap respon,5,60,aplikasi terpercaya untuk pengguna yang cepat tanggap respon,8
bagus dan membantu,5,18,bagus dan membantu,3
lamaaa. kalo mesen gofood suka di cancel driver. mana ga bisa dibatalin. benahin dong sistemnya,1,95,lamaaa kalo mesen gofood suka di cancel driver mana ga bisa dibatalin benahin dong sistemnya,15
"ada saldo di gojek tbtb habis kepotong biaya yang gajelas , kaya capcut dan remini ai padahal gak ada aplikasinya dan gapernah pake, sumpah kecewa bener, niatnya mau nabung di gojek malah kepotong biaya gak jelas, najis",1,219,ada saldo di gojek tbtb habis kepotong biaya yang gajelas kaya capcut dan remini ai padahal gak ada aplikasinya dan gapernah pake sumpah kecewa bener niatnya mau nabung di gojek malah kepotong biaya gak jelas najis,36
"sistem sering eror, posisi driver tidak bergerak padahal drivernya sudah jalan",3,78,sistem sering eror posisi driver tidak bergerak padahal drivernya sudah jalan,11
ku kasih 2 bintang karena drivernya susah di wilayah sragen perjalanannya kurang membantu,2,89,ku kasih bintang karena drivernya susah di wilayah sragen perjalanannya kurang membantu,12
"developer tolol gak bisa tegas ke mitra rekrutannya, mitra drivernya brengsek semua!!!",1,86,developer tolol gak bisa tegas ke mitra rekrutannya mitra drivernya brengsek semua,12
"jelek bgt sistem gofood nya. . ga bisaa di cancel, harus nunggu lama banget ternyata belum di proses juga!! apa lagi pas cari diver lama, ga langsung di cancel malah gunta ganti driver. klo orang sekarat udh keburu mati!",1,220,jelek bgt sistem gofood nya ga bisaa di cancel harus nunggu lama banget ternyata belum di proses juga apa lagi pas cari diver lama ga langsung di cancel malah gunta ganti driver klo orang sekarat udh keburu mati,38
cape perjalanan dari cikarang ke jakarta hujan deres gada yg mau ambil orderan dari motor sampe mobil cancel trs!! nunggu dari jam 10 malam sampe jam 11 malam gada juga...,1,171,cape perjalanan dari cikarang ke jakarta hujan deres gada yg mau ambil orderan dari motor sampe mobil cancel trs nunggu dari jam malam sampe jam malam gada juga,28
jujur utk aplikasi transportasi aku selalu pakai gojek. drivernya hampir semua ramah-ramah. dan ntah kenapa selalu merasa safety kalau naik ini. promo juga lumayan pokoknya langganan aja kuncinya. tp paling penting kenyamanan sih. tetap pertahanin plisss !!!,5,258,jujur utk aplikasi transportasi aku selalu pakai gojek drivernya hampir semua ramahramah dan ntah kenapa selalu merasa safety kalau naik ini promo juga lumayan pokoknya langganan aja kuncinya tp paling penting kenyamanan sih tetap pertahanin plisss,36
"udah paling nyaman dah gojek mah, mantap.",5,41,udah paling nyaman dah gojek mah mantap,7
sangat membantu jika lagi laper pesen di gofood👍,5,48,sangat membantu jika lagi laper pesen di gofood,8
ini gojek ada apa kok di gojek saldo update tolong perbaiki,2,59,ini gojek ada apa kok di gojek saldo update tolong perbaiki,11
makanan selisih 7.000 dari harga aslinya belum lagi ada tambahan biaya penangan dan pengiriman. jika harga asli di toko ofline 21.000 di aplikasi i 28.000 di tambah biaya penangan dan pengiriman total ketemu 40 lebih,1,216,makanan selisih dari harga aslinya belum lagi ada tambahan biaya penangan dan pengiriman jika harga asli di toko ofline di aplikasi i di tambah biaya penangan dan pengiriman total ketemu lebih,31
nyari driver susah,1,18,nyari driver susah,3
"padahal saya cuma disuruh batalin, malah disuruh bayar denda 3rb saya kecewa",1,76,padahal saya cuma disuruh batalin malah disuruh bayar denda rb saya kecewa,12
banyak hal jadi lebih mudah setelah ada gojek. mau pergi kemanapun dan pesan apapun bisa dari rumah dan jadi lebih praktis love buat gojek🫶 semoga sukses selalu,5,160,banyak hal jadi lebih mudah setelah ada gojek mau pergi kemanapun dan pesan apapun bisa dari rumah dan jadi lebih praktis love buat gojek semoga sukses selalu,27
susah amat nyari driver padahal bayar ga gratis wkwk,1,52,susah amat nyari driver padahal bayar ga gratis wkwk,9
gojek kok mahal sekarang,5,24,gojek kok mahal sekarang,4
"pengiriman cepat, tepat waktu, banyak diskonnya.. sukses selalu gojek. mudah cari semua menu di aplikasi ini",5,108,pengiriman cepat tepat waktu banyak diskonnya sukses selalu gojek mudah cari semua menu di aplikasi ini,16
tolong dong datang ke daerah plosok aku beneran butuh gojek kalo beneran urgent disini susah banget 😭😭,5,102,tolong dong datang ke daerah plosok aku beneran butuh gojek kalo beneran urgent disini susah banget,16
"sudah menghubungi pusat bantuan, tapi tidak membuahkan hasil uang hilang 5,6 juta",1,81,sudah menghubungi pusat bantuan tapi tidak membuahkan hasil uang hilang juta,11
dengan berat hati saya kasih rating 1 untuk aplikasi dan driver gojek. saya sudah booking gocar dari pukul 17.00 sampai pukul 18.00 semua di cancel setelah tau saya bawa belanjaan. perbaiki dulu sistemnya.,1,205,dengan berat hati saya kasih rating untuk aplikasi dan driver gojek saya sudah booking gocar dari pukul sampai pukul semua di cancel setelah tau saya bawa belanjaan perbaiki dulu sistemnya,30
aplikasi yang sangat kompleks dan usefull di era teknologi,5,58,aplikasi yang sangat kompleks dan usefull di era teknologi,9
drivernya cepat responnya tapi kadang kadang apilakasinya gangguan,5,66,drivernya cepat responnya tapi kadang kadang apilakasinya gangguan,8
"makin kesini driver pada mageran ambil order, sorry",1,51,makin kesini driver pada mageran ambil order sorry,8
sekarang kenapa susah banget dah nyari drivernya? udh bangkrut kah?,1,67,sekarang kenapa susah banget dah nyari drivernya udh bangkrut kah,10
"aplikasi nya sangat bermanfaat terima kasih, serta memudahkan saya untuk kegiatan sehari-hari",5,93,aplikasi nya sangat bermanfaat terima kasih serta memudahkan saya untuk kegiatan seharihari,12
"aku ga ada masalah sama apk nya, tapi aku gasuka banget sama driver2nya yang kasar. waktu itu ada yg ngomel sepanjang jalan karena bilangnya knp pesen hemat, ada opang blabla sampai sakit telinga aku dengernya. klo gamau cancel aja, gausah nerima tp ngasih pelayanan buruk.",1,273,aku ga ada masalah sama apk nya tapi aku gasuka banget sama drivernya yang kasar waktu itu ada yg ngomel sepanjang jalan karena bilangnya knp pesen hemat ada opang blabla sampai sakit telinga aku dengernya klo gamau cancel aja gausah nerima tp ngasih pelayanan buruk,45
puas dg layanan gojek,5,21,puas dg layanan gojek,4
saya suka gojek dan semua dr aplikasi ini semoga makin jaya gojek indonesia,5,75,saya suka gojek dan semua dr aplikasi ini semoga makin jaya gojek indonesia,13
"ga pemilik aplikasi nya ,ga pengiklan nya ,ga penjual di aplikasi nya problematik semua",1,87,ga pemilik aplikasi nya ga pengiklan nya ga penjual di aplikasi nya problematik semua,14
"katanya potongan cuma 8%,ke driver. gw dapet order 20rb di potong 6.500. ini mah udah 30% lebih. kalau 10% ajah 2000 potongan😆",5,126,katanya potongan cuma ke driver gw dapet order rb di potong ini mah udah lebih kalau ajah potongan,18
"oke, sangat membantu",5,20,oke sangat membantu,3
aplikasi bagus bangga buatan indonesia,5,38,aplikasi bagus bangga buatan indonesia,5
saya pernah membayar 2 kali dan dikembalikan🥳 makasih bgt gojek amanah,5,70,saya pernah membayar kali dan dikembalikan makasih bgt gojek amanah,10
sangat puas naik gojek,5,22,sangat puas naik gojek,4
"gojek emang nyaman kemana "" aman",5,32,gojek emang nyaman kemana aman,5
gps melenceng saat menentukan mau dikirim barang gps ya melenceng..,4,67,gps melenceng saat menentukan mau dikirim barang gps ya melenceng,10
memudahkan dan banyak promo,5,27,memudahkan dan banyak promo,4
udh nahan laper di batalin tlol bngt ni aplikasi mending pake apl sebelah,1,73,udh nahan laper di batalin tlol bngt ni aplikasi mending pake apl sebelah,13
"sebelum beli langganan plus,biaya ongkir gofood sangat murah,setelah beli langganan plus,ongkir jadi super mahal hanya dapat gimik diskon dan promo",1,147,sebelum beli langganan plusbiaya ongkir gofood sangat murahsetelah beli langganan plusongkir jadi super mahal hanya dapat gimik diskon dan promo,20
"mohon diberikan pembinaan atau sejenisnya kepada (oknum driver mobil) yang tidak mengaktifkan gps sewaktu memesan dan slow respon dalam membalas chat. kasian kami pesen hampir menunggu 50 menit namun seakan tidak ada kepastian kapan datangnya padahal hanya berjarak 1,5 km dari titik jemput. jika tidak mau mengambil silahkan chat saja calon penumpang supaya dicancel dan bisa nyari driver lainnya. maaf terpaksa kami cancel karena ortu saya sedang sakit kelamaan menunggu🙏🏻. terimakasih",1,487,mohon diberikan pembinaan atau sejenisnya kepada oknum driver mobil yang tidak mengaktifkan gps sewaktu memesan dan slow respon dalam membalas chat kasian kami pesen hampir menunggu menit namun seakan tidak ada kepastian kapan datangnya padahal hanya berjarak km dari titik jemput jika tidak mau mengambil silahkan chat saja calon penumpang supaya dicancel dan bisa nyari driver lainnya maaf terpaksa kami cancel karena ortu saya sedang sakit kelamaan menunggu terimakasih,69
ngebantu kalo lg mager,5,22,ngebantu kalo lg mager,4
"aplikasi gabener, masa gw booking gada yg ngambil",1,49,aplikasi gabener masa gw booking gada yg ngambil,8
"susah dapat driver. padahal lagi dibutuhin banget. apa harus bayar 5x lipat dulu baru di ""prioritaskan"" ?",1,105,susah dapat driver padahal lagi dibutuhin banget apa harus bayar x lipat dulu baru di prioritaskan,16
untuk saat ini 👍,5,16,untuk saat ini,3
"good job, dan menyenangkan.",5,27,good job dan menyenangkan,4
kenapa lama install nya,1,23,kenapa lama install nya,4
sumpah parah gopay udah foto ktp tapi ditolak apaaa. ini susah jangan bikin gopay dah kawan hindari smua kawan kawan gopay parah udah di update tapi di tolak mintak sialan sialan,1,178,sumpah parah gopay udah foto ktp tapi ditolak apaaa ini susah jangan bikin gopay dah kawan hindari smua kawan kawan gopay parah udah di update tapi di tolak mintak sialan sialan,31
"sekarang bukan aplikasi transportasi, tapi lebih ke pinjol bikin orang melarat",1,78,sekarang bukan aplikasi transportasi tapi lebih ke pinjol bikin orang melarat,11
oke sih sangat membantu,5,23,oke sih sangat membantu,4
tahu jalan cepat,5,16,tahu jalan cepat,3
pajak 25% sangat lah besar kasian para driver yg pke motor sndiri biaya service sndiri,3,86,pajak sangat lah besar kasian para driver yg pke motor sndiri biaya service sndiri,14
"makanan tidak saya terima , tp katanya sudah di antar. complain ke cs tidak ada hasil",1,85,makanan tidak saya terima tp katanya sudah di antar complain ke cs tidak ada hasil,15
stop bikin kebijakan yang bentrokin costumer sama driver,1,56,stop bikin kebijakan yang bentrokin costumer sama driver,8
sudah lama pakai aplikasi ini secara umum tak mengecewakan.,5,59,sudah lama pakai aplikasi ini secara umum tak mengecewakan,9
sukaakkkkk! jujur apk ini membantu bgtt,5,39,sukaakkkkk jujur apk ini membantu bgtt,6
makin goblog emang tarif ga masuk akal,1,38,makin goblog emang tarif ga masuk akal,7
"enak , cepat , bapaknya ramah dan sopan",5,39,enak cepat bapaknya ramah dan sopan,6
"memudahkan ,hemat waktu , praktis dan memang cepat ( tergantung situasi jalanan)",5,80,memudahkan hemat waktu praktis dan memang cepat tergantung situasi jalanan,10
sangggattt membantu dan mudah digunakan,5,39,sangggattt membantu dan mudah digunakan,5
alhamdulillah baik puas dg pelayanannya,5,39,alhamdulillah baik puas dg pelayanannya,5
daftar hemat goride malah jadi susah dapat yang jauh2. bikin sistem ya merugikan . leuheung mun nu deukeut gacor mh. ieu mh angger weh ngahuleung heula. nya jauh ngajeumpuna ge. tekor bensin ngajemput 2km kaluhur wae. ongkos ngan 8rb terus isukan teh saldo di potong 13rb. ya alloh meni kieu kieu teuing gojek ka driver.,3,320,daftar hemat goride malah jadi susah dapat yang jauh bikin sistem ya merugikan leuheung mun nu deukeut gacor mh ieu mh angger weh ngahuleung heula nya jauh ngajeumpuna ge tekor bensin ngajemput km kaluhur wae ongkos ngan rb terus isukan teh saldo di potong rb ya alloh meni kieu kieu teuing gojek ka driver,54
top bgt deh... teng qyu ya abang qu. 👍🙏,5,39,top bgt deh teng qyu ya abang qu,8
terlalu menguras uang,3,21,terlalu menguras uang,3
adili jokowi bebaskan nadiem,5,28,adili jokowi bebaskan nadiem,4
"driver nya selalu ramah tamah.. namun untuk melakukan booking go,rednya selalu lama dpt driver nya",5,98,driver nya selalu ramah tamah namun untuk melakukan booking gorednya selalu lama dpt driver nya,15
mohon di tingkatkan pelayanan yg lbh baik lagi,5,46,mohon di tingkatkan pelayanan yg lbh baik lagi,8
sangat ramah dan familiar,5,25,sangat ramah dan familiar,4
"saya kasih bintang 4 karena, kemarin waktu hari kamis jam 9an awalnya saya mau mesen gocar lalu karena saya tau kalau di daerah saya ini susah sekali dapat driver jadinya saya cancel di saat aplikasi itu sedang mencari driver, saya tinggalkan hingga jam 1an, tiba tiba dateng gocar atas nama saya, posisinya saya sudah tidak di tempat akhirnya teman saya yang mengurus masalah tersebut, dan katanya driver tersebut ""agak"" kesal dan marah, daripada saya memperpanjang urusan saya mau bayardrivenyaperg",4,500,saya kasih bintang karena kemarin waktu hari kamis jam an awalnya saya mau mesen gocar lalu karena saya tau kalau di daerah saya ini susah sekali dapat driver jadinya saya cancel di saat aplikasi itu sedang mencari driver saya tinggalkan hingga jam an tiba tiba dateng gocar atas nama saya posisinya saya sudah tidak di tempat akhirnya teman saya yang mengurus masalah tersebut dan katanya driver tersebut agak kesal dan marah daripada saya memperpanjang urusan saya mau bayardrivenyaperg,78
"drivernya ramah ,baik dan sopan terima kasih",5,44,drivernya ramah baik dan sopan terima kasih,7
resto sudah tutup tapi orderan belum di cancel juga,1,51,resto sudah tutup tapi orderan belum di cancel juga,9
"aplikasi bgnian aplikasi monyet... gua pesan martabak 2 yang dikirim 1,, gua bingung neh nyari kesalahan dmana,, driver ga bsa di chat (udah kabur) ,,resto ga bisa di chat langsung,,, monyet......",1,196,aplikasi bgnian aplikasi monyet gua pesan martabak yang dikirim gua bingung neh nyari kesalahan dmana driver ga bsa di chat udah kabur resto ga bisa di chat langsung monyet,29
hapus gofood jarak dekat,1,24,hapus gofood jarak dekat,4
apk paling membantu dalam setiap waktu,5,38,apk paling membantu dalam setiap waktu,6
"sangat membantu, tapi kadang' sering nge bug apk nya",5,52,sangat membantu tapi kadang sering nge bug apk nya,9
"suka banget error diwaktu mendesak, gajelas bngt 👎👎👎",2,52,suka banget error diwaktu mendesak gajelas bngt,7
lambat dalam merespon laporan. worst experience ever!!,1,54,lambat dalam merespon laporan worst experience ever,7
"ini parah banget sih, pesanan udah 3 jam gak sampai-sampai katanya terlambat 5-15 menit tapi ditunggu berjam jam gak ada. coba ajuin complain yang jawab malah ai, ckckck. kapok beli makanan disini. gak lagi deh",1,210,ini parah banget sih pesanan udah jam gak sampaisampai katanya terlambat menit tapi ditunggu berjam jam gak ada coba ajuin complain yang jawab malah ai ckckck kapok beli makanan disini gak lagi deh,33
aplikasi tolol. ga ada pilihan buat lewat tol. jalur selalu di ambil yg terdekat. selisis jarak sampe 20km bikin driver rugi. ga kaya grap ada pilihan bisa lewat tol atau engganya,1,179,aplikasi tolol ga ada pilihan buat lewat tol jalur selalu di ambil yg terdekat selisis jarak sampe km bikin driver rugi ga kaya grap ada pilihan bisa lewat tol atau engganya,31
"mungkin saran aja, untuk filter pencarian gofood sebaiknya ditambah filter lokasi jarak kedai terdekat sampai terjauh, gak cuman filter rentang harga aja.",5,154,mungkin saran aja untuk filter pencarian gofood sebaiknya ditambah filter lokasi jarak kedai terdekat sampai terjauh gak cuman filter rentang harga aja,22
selalu mendapatkan pengalaman terbaik dan perjalanan terbaik,5,60,selalu mendapatkan pengalaman terbaik dan perjalanan terbaik,7
