text,rating,length,clean_text,word_count,normalized_text,tokens,final_text
sejauh ini ok dan sangat memuaskan dengan aplikasi gojek.semoga sehat terus pejuang gojek untuk keluarga nya.aamiin,5,115,sejauh ini ok dan sangat memuaskan dengan aplikasi gojeksemoga sehat terus pejuang gojek untuk keluarga nyaaamiin,16,sejauh ini baik dan sangat memuaskan dengan aplikasi gojeksemoga sehat terus pejuang gojek untuk keluarga nyaaamiin,"['jauh', 'baik', 'sangat', 'muas', 'aplikasi', 'gojeksemoga', 'sehat', 'terus', 'juang', 'gojek', 'keluarga', 'nyaaamiin']",jauh baik sangat muas aplikasi gojeksemoga sehat terus juang gojek keluarga nyaaamiin
"anjirrr ... sekalinya pake gopay latter 23rb , telat sehari krna lupa , denda ny 50rb .. mo haji yak ??? tau gak sih kalo lu itu mahall ...",1,139,anjirrr sekalinya pake gopay latter rb telat sehari krna lupa denda ny rb mo haji yak tau gak sih kalo lu itu mahall,23,anjirrr sekalinya pake gopay latter rb telat sehari krna lupa denda ny rb mo haji yak tau gak sih kalo lu itu mahall,"['anjirrr', 'sekali', 'pake', 'gopay', 'latter', 'rb', 'telat', 'hari', 'krna', 'lupa', 'denda', 'ny', 'rb', 'mo', 'haji', 'yak', 'tau', 'gak', 'sih', 'kalo', 'lu', 'mahall']",anjirrr sekali pake gopay latter rb telat hari krna lupa denda ny rb mo haji yak tau gak sih kalo lu mahall
aplikasi lemot buat mesen mau cek ja muter2 melulu padahal jaringan ok gk ada kendala tolong d perbaiki,1,103,aplikasi lemot buat mesen mau cek ja muter melulu padahal jaringan ok gk ada kendala tolong d perbaiki,18,aplikasi lemot buat mesen mau cek ja muter melulu padahal jaringan baik tidak ada kendala tolong d perbaiki,"['aplikasi', 'lot', 'buat', 'mesen', 'mau', 'cek', 'ja', 'muter', 'melulu', 'padahal', 'jaring', 'baik', 'kendala', 'd', 'baik']",aplikasi lot buat mesen mau cek ja muter melulu padahal jaring baik kendala d baik
pesanan makanan tidak bisa dibatalkan dengan cepat apabila tidak ada driver padahal mau pesan makanya lain tapi takut dobel gara-gara stts masih gantung nunggu driver mana sejam lagi baru bisa dibatalin,1,202,pesanan makanan tidak bisa dibatalkan dengan cepat apabila tidak ada driver padahal mau pesan makanya lain tapi takut dobel garagara stts masih gantung nunggu driver mana sejam lagi baru bisa dibatalin,31,pesanan makanan tidak bisa dibatalkan dengan cepat apabila tidak ada driver padahal mau pesan makanya lain tapi takut dobel garagara stts masih gantung nunggu driver mana sejam lagi baru bisa dibatalin,"['pesan', 'makan', 'batal', 'cepat', 'apabila', 'driver', 'padahal', 'mau', 'pesan', 'makanya', 'takut', 'dobel', 'garagara', 'stts', 'gantung', 'nunggu', 'driver', 'mana', 'jam', 'baru', 'dibatalin']",pesan makan batal cepat apabila driver padahal mau pesan makanya takut dobel garagara stts gantung nunggu driver mana jam baru dibatalin
"untuk gocar tolong banget diperbaiki saya sampe 6x/7x pesan driver menolak alasan posisi jauh padahal sangat dekat cuma 5 menit saja ke posisi saya ,tidak mau hanya karena saya digang ,padahal jalan cukup untuk mobil ,posisi saya mau bawa ibu saya berobat.sampai saya ganti ke grab baru saya bisa bawa ibu saya.bner"" bkin saya sesak rasanya order gocar! satu jam saya pesan kalian tidak ada yang mau padahal saya hapus voucher supaya argo tetap normal!",3,452,untuk gocar tolong banget diperbaiki saya sampe xx pesan driver menolak alasan posisi jauh padahal sangat dekat cuma menit saja ke posisi saya tidak mau hanya karena saya digang padahal jalan cukup untuk mobil posisi saya mau bawa ibu saya berobatsampai saya ganti ke grab baru saya bisa bawa ibu sayabner bkin saya sesak rasanya order gocar satu jam saya pesan kalian tidak ada yang mau padahal saya hapus voucher supaya argo tetap normal,74,untuk gocar tolong banget diperbaiki saya sampe xx pesan driver menolak alasan posisi jauh padahal sangat dekat cuma menit saja ke posisi saya tidak mau hanya karena saya digang padahal jalan cukup untuk mobil posisi saya mau bawa ibu saya berobatsampai saya ganti ke grab baru saya bisa bawa ibu sayabner bkin saya sesak rasanya order gocar satu jam saya pesan kalian tidak ada yang mau padahal saya hapus voucher supaya argo tetap normal,"['gocar', 'banget', 'baik', 'sampe', 'xx', 'pesan', 'driver', 'tolak', 'alas', 'posisi', 'jauh', 'padahal', 'sangat', 'dekat', 'cuma', 'menit', 'posisi', 'mau', 'gang', 'padahal', 'jalan', 'cukup', 'mobil', 'posisi', 'mau', 'bawa', 'ibu', 'berobatsampai', 'ganti', 'grab', 'baru', 'bawa', 'ibu', 'sayabner', 'bkin', 'sesak', 'rasa', 'order', 'gocar', 'satu', 'jam', 'pesan', 'kalian', 'mau', 'padahal', 'hapus', 'voucher', 'argo', 'tetap', 'normal']",gocar banget baik sampe xx pesan driver tolak alas posisi jauh padahal sangat dekat cuma menit posisi mau gang padahal jalan cukup mobil posisi mau bawa ibu berobatsampai ganti grab baru bawa ibu sayabner bkin sesak rasa order gocar satu jam pesan kalian mau padahal hapus voucher argo tetap normal
aplikasi yg sangat amat membantuuuu...,5,38,aplikasi yg sangat amat membantuuuu,5,aplikasi yg sangat amat membantuuuu,"['aplikasi', 'yg', 'sangat', 'membantuuuu']",aplikasi yg sangat membantuuuu
baru mau nyoba,5,14,baru mau nyoba,3,baru mau nyoba,"['baru', 'mau', 'nyoba']",baru mau nyoba
ngebantu banget sumpa,5,21,ngebantu banget sumpa,3,ngebantu banget sumpa,"['ngebantu', 'banget', 'sumpa']",ngebantu banget sumpa
dengan adanya aplikasi ini semuanya jadi mudah,5,46,dengan adanya aplikasi ini semuanya jadi mudah,7,dengan adanya aplikasi ini semuanya jadi mudah,"['ada', 'aplikasi', 'semua', 'jadi', 'mudah']",ada aplikasi semua jadi mudah
untuk kenyamanaan dan keamanan pilih aplikasi gojek...tidak mengecewakan... kalau ngak percaya coba aja...gojek merupakan layanan publik yg sangat saya sukaiii...banyak kemudahan yg di berikan...,5,195,untuk kenyamanaan dan keamanan pilih aplikasi gojektidak mengecewakan kalau ngak percaya coba ajagojek merupakan layanan publik yg sangat saya sukaiiibanyak kemudahan yg di berikan,24,untuk kenyamanaan dan keamanan pilih aplikasi gojektidak mengecewakan kalau ngak percaya coba ajagojek merupakan layanan publik yg sangat saya sukaiiibanyak kemudahan yg di berikan,"['kenyamanaan', 'aman', 'pilih', 'aplikasi', 'gojektidak', 'kecewa', 'kalau', 'ngak', 'percaya', 'coba', 'ajagojek', 'rupa', 'layan', 'publik', 'yg', 'sangat', 'sukaiiibanyak', 'mudah', 'yg', 'ikan']",kenyamanaan aman pilih aplikasi gojektidak kecewa kalau ngak percaya coba ajagojek rupa layan publik yg sangat sukaiiibanyak mudah yg ikan
kita tahula manfaatnya gimana,5,29,kita tahula manfaatnya gimana,4,kita tahula manfaatnya gimana,"['tahula', 'manfaat', 'gimana']",tahula manfaat gimana
"tolong dong info saldo di aplikasi gojek biar bisa hide/unhide jangan melotot mulu, kadang gak enak kalo ada yg liat makasih sebelumnya",1,135,tolong dong info saldo di aplikasi gojek biar bisa hideunhide jangan melotot mulu kadang gak enak kalo ada yg liat makasih sebelumnya,22,tolong dong info saldo di aplikasi gojek biar bisa hideunhide jangan melotot mulu kadang gak enak kalo ada yg liat makasih sebelumnya,"['dong', 'info', 'saldo', 'aplikasi', 'gojek', 'biar', 'hideunhide', 'jangan', 'melotot', 'mulu', 'kadang', 'gak', 'enak', 'kalo', 'yg', 'liat', 'makasih', 'belum']",dong info saldo aplikasi gojek biar hideunhide jangan melotot mulu kadang gak enak kalo yg liat makasih belum
setiap hari senin sampai kamis saya ga boleh dapat trip goride dari sistem? harus gosend ya? kalau ga aktifin layanan gosend ga bakal dapat trip sama sekali? ga ngasih gaji ko ngatur saya harus bawa trip apa? kalau ga patuh sama sistem akunnya dibikin anyep ya? atau harus ikut program langganan gacor?? emang biadab banget sistem gojek!!,1,338,setiap hari senin sampai kamis saya ga boleh dapat trip goride dari sistem harus gosend ya kalau ga aktifin layanan gosend ga bakal dapat trip sama sekali ga ngasih gaji ko ngatur saya harus bawa trip apa kalau ga patuh sama sistem akunnya dibikin anyep ya atau harus ikut program langganan gacor emang biadab banget sistem gojek,57,setiap hari senin sampai kamis saya tidak boleh dapat trip goride dari sistem harus gosend ya kalau tidak aktifin layanan gosend tidak bakal dapat trip sama sekali tidak ngasih gaji ko ngatur saya harus bawa trip apa kalau tidak patuh sama sistem akunnya dibikin anyep ya atau harus ikut program langganan gacor emang biadab banget sistem gojek,"['hari', 'senin', 'kamis', 'trip', 'goride', 'sistem', 'gosend', 'kalau', 'aktifin', 'layan', 'gosend', 'bakal', 'trip', 'sama', 'sekali', 'ngasih', 'gaji', 'ko', 'ngatur', 'bawa', 'trip', 'apa', 'kalau', 'patuh', 'sama', 'sistem', 'akun', 'bikin', 'anyep', 'ikut', 'program', 'langgan', 'gacor', 'emang', 'biadab', 'banget', 'sistem', 'gojek']",hari senin kamis trip goride sistem gosend kalau aktifin layan gosend bakal trip sama sekali ngasih gaji ko ngatur bawa trip apa kalau patuh sama sistem akun bikin anyep ikut program langgan gacor emang biadab banget sistem gojek
tidak bisa memesan apapun di tolak,5,34,tidak bisa memesan apapun di tolak,6,tidak bisa memesan apapun di tolak,"['mes', 'apa', 'tolak']",mes apa tolak
bagus tp knp sdh tdk ada voucher goride gosend lagi seperti dulu,3,64,bagus tp knp sdh tdk ada voucher goride gosend lagi seperti dulu,12,bagus tapi knp sdh tidak ada voucher goride gosend lagi seperti dulu,"['bagus', 'knp', 'sdh', 'voucher', 'goride', 'gosend', 'dulu']",bagus knp sdh voucher goride gosend dulu
pesanan cepat diantar dan sesuai pesanan,5,40,pesanan cepat diantar dan sesuai pesanan,6,pesanan cepat diantar dan sesuai pesanan,"['pesan', 'cepat', 'antar', 'sesuai', 'pesan']",pesan cepat antar sesuai pesan
"ramah, cepat, percaya",5,21,ramah cepat percaya,3,ramah cepat percaya,"['ramah', 'cepat', 'percaya']",ramah cepat percaya
kasian driver nya dpt komisi sedikit,1,36,kasian driver nya dpt komisi sedikit,6,kasian driver nya dpt komisi sedikit,"['kasi', 'driver', 'nya', 'dpt', 'komisi', 'sedikit']",kasi driver nya dpt komisi sedikit
belagu banget drivernya nganter tangerang jakarta aja pada di cancel di diemin gak jelas banget gak niat cari duit,1,114,belagu banget drivernya nganter tangerang jakarta aja pada di cancel di diemin gak jelas banget gak niat cari duit,19,belagu banget drivernya nganter tangerang jakarta saja pada di cancel di diemin gak jelas banget gak niat cari duit,"['belagu', 'banget', 'drivernya', 'nganter', 'tangerang', 'jakarta', 'cancel', 'diemin', 'gak', 'jelas', 'banget', 'gak', 'niat', 'cari', 'duit']",belagu banget drivernya nganter tangerang jakarta cancel diemin gak jelas banget gak niat cari duit
kemana pun bisa mudah dengan gojek,5,34,kemana pun bisa mudah dengan gojek,6,kemana pun bisa mudah dengan gojek,"['mudah', 'gojek']",mudah gojek
mantap semoga lebih baik lagi,5,29,mantap semoga lebih baik lagi,5,mantap semoga lebih baik lagi,"['mantap', 'moga', 'lebih', 'baik']",mantap moga lebih baik
"hapus program langganan goride hemat,kasihan driver sudah kena potongan 20% lebih masih di potong lagi program hemat berlangganan",1,129,hapus program langganan goride hematkasihan driver sudah kena potongan lebih masih di potong lagi program hemat berlangganan,17,hapus program langganan goride hematkasihan driver sudah kena potongan lebih masih di potong lagi program hemat berlangganan,"['hapus', 'program', 'langgan', 'goride', 'hematkasihan', 'driver', 'kena', 'potong', 'lebih', 'potong', 'program', 'hemat', 'langgan']",hapus program langgan goride hematkasihan driver kena potong lebih potong program hemat langgan
nah agak lumayan nih sekarang. bintang saya naikin,5,50,nah agak lumayan nih sekarang bintang saya naikin,8,nah agak lumayan nih sekarang bintang saya naikin,"['nah', 'lumayan', 'nih', 'sekarang', 'bintang', 'naikin']",nah lumayan nih sekarang bintang naikin
"saya udah coba berulang kali buat install aplikasi ini lagi, penyimpanan aman dan koneksi internet juga aman. tapi kenapa tetap gagal ya? padahal saya udah langganan dari 6 tahun yang lalu. mohon arahannya",2,205,saya udah coba berulang kali buat install aplikasi ini lagi penyimpanan aman dan koneksi internet juga aman tapi kenapa tetap gagal ya padahal saya udah langganan dari tahun yang lalu mohon arahannya,32,saya udah coba berulang kali buat install aplikasi ini lagi penyimpanan aman dan koneksi internet juga aman tapi kenapa tetap gagal ya padahal saya udah langganan dari tahun yang lalu mohon arahannya,"['udah', 'coba', 'ulang', 'kali', 'buat', 'install', 'aplikasi', 'simpan', 'aman', 'koneksi', 'internet', 'aman', 'tetap', 'gagal', 'padahal', 'udah', 'langgan', 'tahun', 'lalu', 'mohon', 'arah']",udah coba ulang kali buat install aplikasi simpan aman koneksi internet aman tetap gagal padahal udah langgan tahun lalu mohon arah
"aplikasi lemot, gojeknya ga jelas semua, penjemputan lama",1,57,aplikasi lemot gojeknya ga jelas semua penjemputan lama,8,aplikasi lemot gojeknya tidak jelas semua penjemputan lama,"['aplikasi', 'lot', 'gojek', 'jelas', 'semua', 'jemput', 'lama']",aplikasi lot gojek jelas semua jemput lama
baru download gakbisa daftar istirahat selama 60 menit lah keburu laperr mau pesen juga,1,87,baru download gakbisa daftar istirahat selama menit lah keburu laperr mau pesen juga,13,baru download gakbisa daftar istirahat selama menit lah keburu laperr mau pesen juga,"['baru', 'download', 'gakbisa', 'daftar', 'istirahat', 'lama', 'menit', 'lah', 'keburu', 'laperr', 'mau', 'sen']",baru download gakbisa daftar istirahat lama menit lah keburu laperr mau sen
abang gojek ramah dan sopan,5,27,abang gojek ramah dan sopan,5,abang gojek ramah dan sopan,"['abang', 'gojek', 'ramah', 'sopan']",abang gojek ramah sopan
"gojek semakin buruk ,banyak driver yang tidak merespon .bahkan orderan di abaikan dan tidak membalas chat .disiplinkan driver yang tidak merespon atau yang tidak bergerak .sudah tidak bergerak tidak bisa di hubungi.",3,215,gojek semakin buruk banyak driver yang tidak merespon bahkan orderan di abaikan dan tidak membalas chat disiplinkan driver yang tidak merespon atau yang tidak bergerak sudah tidak bergerak tidak bisa di hubungi,32,gojek semakin buruk banyak driver yang tidak merespon bahkan orderan di abaikan dan tidak membalas chat disiplinkan driver yang tidak merespon atau yang tidak bergerak sudah tidak bergerak tidak bisa di hubungi,"['gojek', 'makin', 'buruk', 'banyak', 'driver', 'merespon', 'bahkan', 'order', 'abai', 'balas', 'chat', 'disiplin', 'driver', 'merespon', 'gerak', 'gerak', 'hubung']",gojek makin buruk banyak driver merespon bahkan order abai balas chat disiplin driver merespon gerak gerak hubung
lama cari driver,2,16,lama cari driver,3,lama cari driver,"['lama', 'cari', 'driver']",lama cari driver
"aplikasi aneh, verifikasi wajah gak bisa, pdhl gua gak operasi muka nya",1,71,aplikasi aneh verifikasi wajah gak bisa pdhl gua gak operasi muka nya,12,aplikasi aneh verifikasi wajah gak bisa pdhl gua gak operasi muka nya,"['aplikasi', 'aneh', 'verifikasi', 'wajah', 'gak', 'pdhl', 'gua', 'gak', 'operasi', 'muka', 'nya']",aplikasi aneh verifikasi wajah gak pdhl gua gak operasi muka nya
"sy baru naik gojek mobil dari lrt cibubur mau ke kotawista , jalur di aplikasi driver kenapa gak bisa dipilih lewat non toll ya .maksud saya mau hemat gak keluarin biaya toll lagi karena . jalanan arteri transyogi masih lancar ..makasih ..poster marpaung",5,254,sy baru naik gojek mobil dari lrt cibubur mau ke kotawista jalur di aplikasi driver kenapa gak bisa dipilih lewat non toll ya maksud saya mau hemat gak keluarin biaya toll lagi karena jalanan arteri transyogi masih lancar makasih poster marpaung,41,sy baru naik gojek mobil dari lrt cibubur mau ke kotawista jalur di aplikasi driver kenapa gak bisa dipilih lewat non toll ya maksud saya mau hemat gak keluarin biaya toll lagi karena jalanan arteri transyogi masih lancar makasih poster marpaung,"['sy', 'baru', 'naik', 'gojek', 'mobil', 'lrt', 'cibubur', 'mau', 'kotawista', 'jalur', 'aplikasi', 'driver', 'gak', 'pilih', 'lewat', 'non', 'toll', 'maksud', 'mau', 'hemat', 'gak', 'keluarin', 'biaya', 'toll', 'jalan', 'arteri', 'transyogi', 'lancar', 'makasih', 'poster', 'marpaung']",sy baru naik gojek mobil lrt cibubur mau kotawista jalur aplikasi driver gak pilih lewat non toll maksud mau hemat gak keluarin biaya toll jalan arteri transyogi lancar makasih poster marpaung
"aplikasi maling, bukti transaksi top up udah berhasil dibilang ga masuk",1,71,aplikasi maling bukti transaksi top up udah berhasil dibilang ga masuk,11,aplikasi maling bukti transaksi top up udah berhasil dibilang tidak masuk,"['aplikasi', 'maling', 'bukti', 'transaksi', 'top', 'up', 'udah', 'hasil', 'bilang', 'masuk']",aplikasi maling bukti transaksi top up udah hasil bilang masuk
"driver nya gajelas semua, kata kasar ada, suruh ngecancel juga ada. dilaporin gaada balesan",1,91,driver nya gajelas semua kata kasar ada suruh ngecancel juga ada dilaporin gaada balesan,14,driver nya gajelas semua kata kasar ada suruh ngecancel juga ada dilaporin gaada balesan,"['driver', 'nya', 'gajelas', 'semua', 'kata', 'kasar', 'suruh', 'ngecancel', 'dilaporin', 'gaada', 'balesan']",driver nya gajelas semua kata kasar suruh ngecancel dilaporin gaada balesan
"semua yg pernah aku tumpang, sopirnya ramah",5,43,semua yg pernah aku tumpang sopirnya ramah,7,semua yg pernah aku tumpang sopirnya ramah,"['semua', 'yg', 'pernah', 'aku', 'tumpang', 'sopir', 'ramah']",semua yg pernah aku tumpang sopir ramah
driver baik pelayanan baik,5,26,driver baik pelayanan baik,4,driver baik pelayanan baik,"['driver', 'baik', 'layan', 'baik']",driver baik layan baik
aman nyampe rumah,5,17,aman nyampe rumah,3,aman nyampe rumah,"['aman', 'nyampe', 'rumah']",aman nyampe rumah
"kocak bikin ga enak aja, udah selesai sampe tujuan tiba tiba bikin book baru?? asli kasian driver nya",4,101,kocak bikin ga enak aja udah selesai sampe tujuan tiba tiba bikin book baru asli kasian driver nya,18,kocak bikin tidak enak saja udah selesai sampe tujuan tiba tiba bikin book baru asli kasian driver nya,"['kocak', 'bikin', 'enak', 'udah', 'selesai', 'sampe', 'tuju', 'tiba', 'tiba', 'bikin', 'book', 'baru', 'asli', 'kasi', 'driver', 'nya']",kocak bikin enak udah selesai sampe tuju tiba tiba bikin book baru asli kasi driver nya
murah tapi tadi udh di cancel masi aja daet driver bukan soal uang nya tapi soal sistem pelayanannya masa udh di cancel masi disuruh bayar aneh perbaiki tuh sistem nya,3,167,murah tapi tadi udh di cancel masi aja daet driver bukan soal uang nya tapi soal sistem pelayanannya masa udh di cancel masi disuruh bayar aneh perbaiki tuh sistem nya,30,murah tapi tadi sudah di cancel masi saja daet driver bukan soal uang nya tapi soal sistem pelayanannya masa sudah di cancel masi disuruh bayar aneh perbaiki tuh sistem nya,"['murah', 'tadi', 'cancel', 'mas', 'daet', 'driver', 'bukan', 'soal', 'uang', 'nya', 'soal', 'sistem', 'layan', 'masa', 'cancel', 'mas', 'suruh', 'bayar', 'aneh', 'baik', 'tuh', 'sistem', 'nya']",murah tadi cancel mas daet driver bukan soal uang nya soal sistem layan masa cancel mas suruh bayar aneh baik tuh sistem nya
pelayanan tidak membantu.,1,25,pelayanan tidak membantu,3,pelayanan tidak membantu,"['layan', 'bantu']",layan bantu
aplikasi terbaru dg biaya aplikasi 3rb rupiah pertransaksi (go food) ini terlalu besar. kaya dong aplikatornya.,4,111,aplikasi terbaru dg biaya aplikasi rb rupiah pertransaksi go food ini terlalu besar kaya dong aplikatornya,16,aplikasi terbaru dg biaya aplikasi rb rupiah pertransaksi go food ini terlalu besar kaya dong aplikatornya,"['aplikasi', 'baru', 'dg', 'biaya', 'aplikasi', 'rb', 'rupiah', 'transaksi', 'go', 'food', 'terlalu', 'besar', 'kaya', 'dong', 'aplikatornya']",aplikasi baru dg biaya aplikasi rb rupiah transaksi go food terlalu besar kaya dong aplikatornya
"aplikasi ini kenapa sering lemot sendiri ya, padahal sinyal bagus, hape juga masih baru. aneh.",2,94,aplikasi ini kenapa sering lemot sendiri ya padahal sinyal bagus hape juga masih baru aneh,15,aplikasi ini kenapa sering lemot sendiri ya padahal sinyal bagus hape juga masih baru aneh,"['aplikasi', 'sering', 'lot', 'sendiri', 'padahal', 'sinyal', 'bagus', 'hape', 'baru', 'aneh']",aplikasi sering lot sendiri padahal sinyal bagus hape baru aneh
tolong rispek lah untuk kariawan nya saya udah nungu sampe ber menit menit tetel ga mao nyanperin mala manjauh,1,110,tolong rispek lah untuk kariawan nya saya udah nungu sampe ber menit menit tetel ga mao nyanperin mala manjauh,19,tolong rispek lah untuk kariawan nya saya udah nungu sampe ber menit menit tetel tidak mao nyanperin mala manjauh,"['rispek', 'lah', 'kariawan', 'nya', 'udah', 'nungu', 'sampe', 'ber', 'menit', 'menit', 'tetel', 'mao', 'nyanperin', 'mala', 'manjauh']",rispek lah kariawan nya udah nungu sampe ber menit menit tetel mao nyanperin mala manjauh
"mudah, cepat & memuaskan",5,24,mudah cepat memuaskan,3,mudah cepat memuaskan,"['mudah', 'cepat', 'muas']",mudah cepat muas
tidak membantu saya membeli makanan tapi kurang dalam menu tersebut ketika saya komplain sudah melihat peraturan tersebut jika makanan tersebut kurang tetapi yang dikatakan oleh pihak tersebut data tersebut tidak sesuai mau diperlu aturan apa saya sudah foto lengkap beserta makanan nya dibuka makanan tersebut sudah lengkap kecuali makanan yg kurang tersebut saya kasih bintang satu pelayanan nya jelek udah jelas ada yg kurang saran diliat sebelum dinyatakan tidak sesuai,1,473,tidak membantu saya membeli makanan tapi kurang dalam menu tersebut ketika saya komplain sudah melihat peraturan tersebut jika makanan tersebut kurang tetapi yang dikatakan oleh pihak tersebut data tersebut tidak sesuai mau diperlu aturan apa saya sudah foto lengkap beserta makanan nya dibuka makanan tersebut sudah lengkap kecuali makanan yg kurang tersebut saya kasih bintang satu pelayanan nya jelek udah jelas ada yg kurang saran diliat sebelum dinyatakan tidak sesuai,70,tidak membantu saya membeli makanan tapi kurang dalam menu tersebut ketika saya komplain sudah melihat peraturan tersebut jika makanan tersebut kurang tetapi yang dikatakan oleh pihak tersebut data tersebut tidak sesuai mau diperlu aturan apa saya sudah foto lengkap beserta makanan nya dibuka makanan tersebut sudah lengkap kecuali makanan yg kurang tersebut saya kasih bintang satu pelayanan nya jelek udah jelas ada yg kurang saran diliat sebelum dinyatakan tidak sesuai,"['bantu', 'beli', 'makan', 'kurang', 'menu', 'sebut', 'komplain', 'lihat', 'atur', 'sebut', 'makan', 'sebut', 'kurang', 'kata', 'pihak', 'sebut', 'data', 'sebut', 'sesuai', 'mau', 'perlu', 'atur', 'apa', 'foto', 'lengkap', 'serta', 'makan', 'nya', 'buka', 'makan', 'sebut', 'lengkap', 'makan', 'yg', 'kurang', 'sebut', 'kasih', 'bintang', 'satu', 'layan', 'nya', 'jelek', 'udah', 'jelas', 'yg', 'kurang', 'saran', 'liat', 'nyata', 'sesuai']",bantu beli makan kurang menu sebut komplain lihat atur sebut makan sebut kurang kata pihak sebut data sebut sesuai mau perlu atur apa foto lengkap serta makan nya buka makan sebut lengkap makan yg kurang sebut kasih bintang satu layan nya jelek udah jelas yg kurang saran liat nyata sesuai
top markotop mah,5,16,top markotop mah,3,top markotop mah,"['top', 'markotop', 'mah']",top markotop mah
"biaya jasa aplikasi terlalu mahal sekarang, biasanya nyaman pakai gojek. tapi biaya aplikasi kemahalan. terus gopaylater tidak ada notifikasi pembayaran, telat 1 hari baru di beritahu dendanya 50 ribu😂",1,201,biaya jasa aplikasi terlalu mahal sekarang biasanya nyaman pakai gojek tapi biaya aplikasi kemahalan terus gopaylater tidak ada notifikasi pembayaran telat hari baru di beritahu dendanya ribu,27,biaya jasa aplikasi terlalu mahal sekarang biasanya nyaman pakai gojek tapi biaya aplikasi kemahalan terus gopaylater tidak ada notifikasi pembayaran telat hari baru di beritahu dendanya ribu,"['biaya', 'jasa', 'aplikasi', 'terlalu', 'mahal', 'sekarang', 'biasa', 'nyaman', 'pakai', 'gojek', 'biaya', 'aplikasi', 'mahal', 'terus', 'gopaylater', 'notifikasi', 'bayar', 'telat', 'hari', 'baru', 'beritahu', 'denda', 'ribu']",biaya jasa aplikasi terlalu mahal sekarang biasa nyaman pakai gojek biaya aplikasi mahal terus gopaylater notifikasi bayar telat hari baru beritahu denda ribu
"saya biasa menggunakan paylater dan paypinjam, ternyata saya baru tahu bunganya cukup besar dibandingkan pinjaman di toko oren, ok sip selanjutnya tidak akan pakai fitur tsb dan tokped, tokped hanya untuk liat2 barang aja..hehehehe",3,231,saya biasa menggunakan paylater dan paypinjam ternyata saya baru tahu bunganya cukup besar dibandingkan pinjaman di toko oren ok sip selanjutnya tidak akan pakai fitur tsb dan tokped tokped hanya untuk liat barang ajahehehehe,34,saya biasa menggunakan paylater dan paypinjam ternyata saya baru tahu bunganya cukup besar dibandingkan pinjaman di toko oren baik sip selanjutnya tidak akan pakai fitur tsb dan tokped tokped hanya untuk liat barang ajahehehehe,"['biasa', 'guna', 'paylater', 'paypinjam', 'nyata', 'baru', 'tahu', 'bunga', 'cukup', 'besar', 'banding', 'pinjam', 'toko', 'oren', 'baik', 'sip', 'lanjut', 'pakai', 'fitur', 'tsb', 'tokped', 'tokped', 'liat', 'barang', 'ajahehehehe']",biasa guna paylater paypinjam nyata baru tahu bunga cukup besar banding pinjam toko oren baik sip lanjut pakai fitur tsb tokped tokped liat barang ajahehehehe
pesen goride comfort terus tapi yang dateng selalu motor vario 125 terus .. gmn sih gojek,1,89,pesen goride comfort terus tapi yang dateng selalu motor vario terus gmn sih gojek,14,pesen goride comfort terus tapi yang dateng selalu motor vario terus gmn sih gojek,"['sen', 'goride', 'comfort', 'terus', 'dateng', 'selalu', 'motor', 'vario', 'terus', 'gmn', 'sih', 'gojek']",sen goride comfort terus dateng selalu motor vario terus gmn sih gojek
"lawak bgt, sengaja nggak ngasih notifikasi tagihan trus ngasih denda 50rb hahaha",1,80,lawak bgt sengaja nggak ngasih notifikasi tagihan trus ngasih denda rb hahaha,12,lawak banget sengaja tidak ngasih notifikasi tagihan trus ngasih denda rb hahaha,"['lawak', 'banget', 'sengaja', 'ngasih', 'notifikasi', 'tagih', 'trus', 'ngasih', 'denda', 'rb', 'hahaha']",lawak banget sengaja ngasih notifikasi tagih trus ngasih denda rb hahaha
nyaman pakai gojek,5,18,nyaman pakai gojek,3,nyaman pakai gojek,"['nyaman', 'pakai', 'gojek']",nyaman pakai gojek
sangat membantu. terima kasih,5,29,sangat membantu terima kasih,4,sangat membantu terima kasih,"['sangat', 'bantu', 'terima', 'kasih']",sangat bantu terima kasih
isi saldo lewat ewallet lain kena potongan yg tidak di jelaskan pada rincian riwayat transaksi 🙁sangat menyedihkan!,2,115,isi saldo lewat ewallet lain kena potongan yg tidak di jelaskan pada rincian riwayat transaksi sangat menyedihkan,17,isi saldo lewat ewallet lain kena potongan yg tidak di jelaskan pada rincian riwayat transaksi sangat menyedihkan,"['isi', 'saldo', 'lewat', 'ewallet', 'kena', 'potong', 'yg', 'jelas', 'rincian', 'riwayat', 'transaksi', 'sangat', 'sedih']",isi saldo lewat ewallet kena potong yg jelas rincian riwayat transaksi sangat sedih
"udah bagus banget sih, jujur aku anak sma yang belum dibolehin naik motor sendiri jadi kebantu bangett makasih gojek",5,116,udah bagus banget sih jujur aku anak sma yang belum dibolehin naik motor sendiri jadi kebantu bangett makasih gojek,19,udah bagus banget sih jujur aku anak sma yang belum dibolehin naik motor sendiri jadi kebantu bangett makasih gojek,"['udah', 'bagus', 'banget', 'sih', 'jujur', 'aku', 'anak', 'sma', 'dibolehin', 'naik', 'motor', 'sendiri', 'jadi', 'bantu', 'bangett', 'makasih', 'gojek']",udah bagus banget sih jujur aku anak sma dibolehin naik motor sendiri jadi bantu bangett makasih gojek
